0
"CEREALS,QUAKER,OAT BRAN,QUAKER/MOTHER'S OAT BRAN,DRY",325.6,14.3,1.43,17.03,62.94,1
"BABYFOOD,JUC,APPL&CHERRY",40.14,0.1,0.035,0.1,9.9,1
"PORK,FRSH,LOIN,COUNTRY-STYLE RIBS,LN & FAT,BNLESS,CKD,RSTD",131.924,0.0,6.581,26.4,0.0,1
"ALCOHOLIC BEV,WINE,TABLE,RED,CARIGNANE",9.879999999999999,0.0,0.0,0.07,2.4,1
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",93.44800000000001,0.0,0.742,3.98,18.64,1
"OIL,INDUSTRIAL,CANOLA W/ ANTIFOAMING AGENT",30.46,0.0,7.615,0.0,0.0,1
"BULGUR,COOKED",86.80799999999999,4.5,0.042,3.08,18.58,1
"CEREALS,MALT-O-MEAL,CHOC,PREP W/ H2O,WO/ SALT",42.48,0.4,0.03,1.37,9.22,1
"KEEBLER,TOWN HOUSE,ORIGINAL CRACKERS",278.79999999999995,1.7,4.8,5.1,59.8,1
"ORANGES,RAW,FLORIDA",49.059999999999995,2.4,0.025,0.7,11.54,1
"CAMPBELL'S,SPAGHETTIOS,SPAGHETTI IN TOMATO & CHS SAU",75.392,1.2,0.198,2.78,15.87,1
"EGG,WHL,DRIED",256.996,0.0,15.069,48.05,1.13,1
"DENNY'S,ONION RINGS",200.27599999999998,2.4,3.729,5.29,41.05,1
"BEVERAGES,CARB,COLA,FAST-FOOD COLA",38.52,0.0,0.0,0.07,9.56,1
"HALIBUT,GREENLAND,RAW",67.15599999999999,0.0,2.419,14.37,0.0,1
"DUCK,YNG DUCKLING,DOM,WH PEKIN,LEG,MEAT&SKN,BONE IN,CKD,RSTD",118.9,0.0,2.975,26.75,0.0,1
"SOYBEANS,MATURE SEEDS,DRY RSTD",301.70799999999997,8.1,3.127,43.32,28.98,1
"GAME MEAT,MOOSE,CKD,RSTD",118.24,0.0,0.29,29.27,0.0,1
"BEEF,SHRT LOIN,TOP LOIN,STEAK,LN,1/8 FAT,ALL GRDS,CKD,BRLD",128.0,0.0,2.7,29.3,0.0,1
"BURGER KING,ORIGINAL CHICK SNDWCH",164.332,2.4,2.723,12.14,26.22,1
"PORK,CURED,HAM -- H2O ADDED,SLICE,BONE-IN,LN & FAT,UNHTD",81.536,0.0,3.554,15.73,1.1,1
"CEREALS,QUAKER,WHL WHEAT NAT CRL,DRY",348.07599999999996,9.9,0.419,11.8,74.8,1
"GEFILTEFISH,COMM,SWT RECIPE",67.568,0.0,0.412,9.07,7.41,1
"SAUCE,PESTO,RTS,REFR",107.96000000000001,1.8,7.07,9.83,10.09,1
"BEEF,GROUND,85% LN MEAT / 15% FAT,PATTY,CKD,BRLD",127.3,0.0,5.895,25.93,0.0,1
"BEEF,NZ,IMP,VAR MEATS & BY-PRODUCTS,HEART,CKD,BLD",132.46,0.0,1.825,31.29,0.0,1
"COCONUT MEAT,DRIED (DESICCATED),SWTND,SHREDDED",328.072,4.5,31.468,2.88,47.67,1
"BEVERAGES,V8 SPLASH SMOOTHIES,PEACH MANGO",35.92,0.0,0.0,1.22,7.76,1
"CRANBERRY JUC COCKTAIL,BTLD,LO CAL,W/CA,SACCHARIN&CORN SWTNR",18.479999999999997,0.0,0.0,0.02,4.6,1
"CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS,CHICK NOODLE SOUP",23.656,0.4,0.204,1.63,4.08,1
"CUSTARD-APPLE,(BULLOCK'S-HEART),RAW",108.524,2.4,0.231,1.7,25.2,1
"CRAYFISH,MXD SP,WILD,RAW",64.516,0.0,0.159,15.97,0.0,1
"FRUIT SYRUP",340.52,0.1,0.0,0.0,85.13,1
"BEEF,AUSTRALIAN,IMP,WAGYU,SEAM FAT,AUST. MARBLE SCORE 9,RAW",110.508,0.0,22.467,5.16,0.0,1
"PEAS&CARROTS,FRZ,UNPREP",58.536,3.4,0.084,3.4,11.15,1
"TORTILLAS,RTB OR -FRY,WHL WHEAT",242.112,9.8,4.878,9.76,45.89,1
"BEEF,COMP OF RTL CUTS,LN & FAT,0 FAT,ALL GRDS,RAW",99.38,0.0,3.845,20.95,0.05,1
